City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Kefamenanu,ID,82.65,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
3,Busselton,AU,78.01,overcast clouds,-33.65,115.3333,Observatory Guest House
4,Atuona,PF,79.95,light rain,-9.8,-139.0333,Villa Enata
7,Oranjestad,AW,79.0,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
12,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Georgetown,MY,89.6,scattered clouds,5.4112,100.3354,Cititel Penang
29,Kavieng,PG,84.13,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
35,Qandala,SO,87.57,scattered clouds,11.472000000000001,49.8728,
37,Butaritari,KI,82.81,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Banjar,ID,87.8,few clouds,-8.19,114.9675,The Hamsa Resort
48,Taoudenni,ML,84.25,clear sky,22.6783,-3.9836,
49,Karratha,AU,88.23,clear sky,-20.7377,116.8463,ibis Styles Karratha
52,Rikitea,PF,77.81,scattered clouds,-23.1203,-134.9692,Pension Maro'i
58,Kavaratti,IN,84.42,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
66,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
71,Nishihara,JP,78.8,few clouds,26.1842,127.7558,Minshuku Agaihama
75,Isangel,VU,77.36,overcast clouds,-19.55,169.2667,Tanna Lodge
86,Vung Tau,VN,85.84,broken clouds,10.345999999999998,107.0843,Green hotel
91,Amahai,ID,85.17,clear sky,-3.3333,128.9167,HOTEL ISABELA
96,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
99,Port Hedland,AU,87.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
100,Biak,ID,83.14,broken clouds,-0.9131,122.8766,Penginapan Kim
103,Sakakah,SA,78.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
107,Nabire,ID,85.28,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
109,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
110,Alugan,PH,81.97,few clouds,12.2188,125.4808,JM Lodge
111,Guarapari,BR,77.0,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
112,Bosaso,SO,86.0,clear sky,11.2842,49.1816,Red Sea Hotel
121,Sola,VU,82.26,scattered clouds,-13.8833,167.55,Leumerus Bungalows
124,Cockburn Town,TC,78.15,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
128,Geraldton,AU,84.2,few clouds,-28.7667,114.6,Broadwater Mariner Resort
129,Siguiri,GN,81.63,broken clouds,11.6667,-9.5,
139,Puerto El Triunfo,SV,78.8,scattered clouds,13.2833,-88.55,Hotel Jardin
141,Vanimo,PG,83.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
142,Bengkulu,ID,84.99,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
143,Carnarvon,AU,87.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
145,Gamba,GA,76.64,light rain,-2.65,10.0,
147,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
148,Sijunjung,ID,84.65,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
149,Wewak,PG,84.56,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
152,Hithadhoo,MV,82.89,broken clouds,-0.6,73.0833,Scoop Guest House
155,San Policarpo,PH,81.81,few clouds,12.1791,125.5072,JM Lodge
161,Soe,ID,77.32,few clouds,-9.8607,124.28399999999999,Dena Hotel
165,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
166,Nagtipunan,PH,86.18,broken clouds,16.2167,121.6,D' Fields Travellers Place
169,Sambava,MG,76.15,overcast clouds,-14.2667,50.1667,Melrose
172,Sungairaya,ID,85.23,scattered clouds,0.7,108.9,Mess P.Milu
173,Robertsport,LR,81.63,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
177,Hervey Bay,AU,75.99,broken clouds,-25.2986,152.8535,Shelly Bay Resort
