City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Vanimo,PG,-2.6741,141.3028,84.42,62,100,0.83,overcast clouds
1,Airai,TL,-8.9266,125.4092,71.42,41,35,2.73,scattered clouds
2,Te Anau,NZ,-45.4167,167.7167,47.77,83,96,7.29,overcast clouds
3,East London,ZA,-33.0153,27.9116,67.77,48,100,9.15,overcast clouds
4,Codrington,AU,-38.2667,141.9667,61.41,63,100,9.15,overcast clouds
5,Nyurba,RU,63.2842,118.3319,29.91,83,100,11.68,overcast clouds
6,Aklavik,CA,68.2191,-135.0107,15.8,73,100,9.22,overcast clouds
7,Avarua,CK,-21.2078,-159.775,82.4,74,97,10.36,overcast clouds
8,Canon City,US,38.441,-105.2424,72.0,12,1,14.97,clear sky
9,Recodo,PH,6.9519,121.9636,86.0,79,40,6.91,scattered clouds
10,Hilo,US,19.7297,-155.09,73.4,78,90,9.13,light rain
11,Grand Bank,CA,47.0999,-55.765,39.58,78,100,8.59,overcast clouds
12,Maldonado,UY,-34.6667,-54.9167,64.4,68,20,11.5,few clouds
13,Pleasanton,US,37.6624,-121.8747,55.0,87,90,9.22,mist
14,Bengkulu,ID,-3.8004,102.2655,82.09,71,52,3.89,broken clouds
15,Saint-Denis,FR,48.9167,2.3333,46.0,61,0,11.5,clear sky
16,Vaini,TO,-21.2,-175.2,82.4,78,40,9.22,light rain
17,Nauta,PE,-4.5061,-73.5757,73.04,99,100,2.46,overcast clouds
18,Geraldton,AU,-28.7667,114.6,84.2,21,0,17.27,clear sky
19,Hithadhoo,MV,-0.6,73.0833,82.44,68,60,4.56,broken clouds
20,Pechora,RU,65.1472,57.2244,39.97,84,100,3.53,overcast clouds
21,Fernie,CA,49.5,-115.0687,39.2,81,86,10.36,overcast clouds
22,Nanortalik,GL,60.1432,-45.2371,38.28,89,100,6.06,light rain
23,Paamiut,GL,61.994,-49.6678,35.89,97,100,1.36,light rain
24,Kodiak,US,57.79,-152.4072,42.8,81,90,9.22,overcast clouds
25,Lingao,CN,19.9103,109.6859,83.48,72,100,12.41,moderate rain
26,Cape Town,ZA,-33.9258,18.4232,63.0,82,75,9.22,broken clouds
27,New Norfolk,AU,-42.7826,147.0587,62.01,74,100,7.0,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,46.4,93,75,2.3,light rain
29,Qaanaaq,GL,77.484,-69.3632,28.13,65,3,8.66,clear sky
30,Beringovskiy,RU,63.05,179.3167,31.86,90,60,1.63,broken clouds
31,Avera,US,33.194,-82.5271,66.2,100,1,6.24,clear sky
32,Rikitea,PF,-23.1203,-134.9692,78.01,75,28,5.97,scattered clouds
33,Ilulissat,GL,69.2167,-51.1,48.2,43,75,19.57,broken clouds
34,Ossora,RU,59.2353,163.0719,33.4,98,97,0.81,overcast clouds
