City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Helong,CN,42.5397,128.9972,67.64,17,71,3.74,broken clouds
1,Kapaa,US,22.0752,-159.319,73.4,78,75,12.66,broken clouds
2,Kefamenanu,ID,-9.4467,124.4781,82.65,45,32,5.39,scattered clouds
3,Busselton,AU,-33.65,115.3333,78.01,49,99,1.99,overcast clouds
4,Atuona,PF,-9.8,-139.0333,79.95,76,77,19.13,light rain
5,Shunyi,CN,40.125,116.6453,69.8,43,0,6.71,clear sky
6,Bluff,NZ,-46.6,168.3333,48.0,65,81,15.01,broken clouds
7,Oranjestad,AW,12.524,-70.027,79.0,83,20,14.97,few clouds
8,Punta Arenas,CL,-53.15,-70.9167,44.6,93,90,5.75,light rain
9,Ouadda,CF,8.0777,22.4007,70.16,91,100,5.19,overcast clouds
10,Husavik,IS,66.0449,-17.3389,35.6,80,90,5.75,overcast clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,73.76,88,50,8.19,scattered clouds
12,Saint-Philippe,RE,-21.3585,55.7679,80.6,65,0,16.11,light rain
13,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,85,90,12.66,light snow
14,Manthani,IN,18.65,79.6667,98.78,25,1,7.54,clear sky
15,Georgetown,MY,5.4112,100.3354,89.6,66,40,5.75,scattered clouds
16,Lompoc,US,34.6391,-120.4579,51.8,87,100,4.61,overcast clouds
17,Lebu,CL,-37.6167,-73.65,53.92,93,21,10.16,few clouds
18,New Norfolk,AU,-42.7826,147.0587,62.01,75,100,5.99,overcast clouds
19,Verkhoyansk,RU,67.5447,133.385,34.65,99,100,4.61,overcast clouds
20,Manjacaze,MZ,-24.7117,33.8828,68.47,89,0,2.62,clear sky
21,Fatehpur,IN,25.9333,80.8,100.94,6,41,9.19,scattered clouds
22,Mataura,NZ,-46.1927,168.8643,48.0,65,96,15.01,overcast clouds
23,Hundested,DK,55.9667,11.8667,39.0,100,61,1.01,broken clouds
24,Invermere,CA,50.5167,-116.0354,37.0,92,100,1.01,overcast clouds
25,Hobart,AU,-42.8794,147.3294,64.4,42,20,18.41,few clouds
26,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,79,1.14,broken clouds
27,Jamestown,US,42.097,-79.2353,32.0,86,20,10.36,few clouds
28,Altamira,BR,-3.2033,-52.2064,71.96,97,93,0.51,overcast clouds
29,Kavieng,PG,-2.5744,150.7967,84.13,67,92,4.32,overcast clouds
30,Eureka,US,40.8021,-124.1637,48.99,84,69,1.01,broken clouds
31,East London,ZA,-33.0153,27.9116,62.6,67,0,4.61,clear sky
