City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-04-25 22:29:24,-34.5322,20.0403,55.4,94,100,3.44
1,Marabba,SD,2021-04-25 22:29:25,12.35,32.1833,87.58,43,100,16.28
2,Hobart,AU,2021-04-25 22:26:01,-42.8794,147.3294,57.99,58,75,17.27
3,Bulaevo,KZ,2021-04-25 22:29:26,54.9056,70.4439,43.07,85,50,6.24
4,Atuona,PF,2021-04-25 22:29:27,-9.8,-139.0333,79.99,73,44,15.03
5,Mar Del Plata,AR,2021-04-25 22:29:28,-38.0023,-57.5575,62.01,72,40,6.91
6,Rawson,AR,2021-04-25 22:29:28,-43.3002,-65.1023,62.19,55,80,22.68
7,Vila,PT,2021-04-25 22:29:29,42.0304,-8.1588,53.01,93,69,1.88
8,Albany,US,2021-04-25 22:25:50,42.6001,-73.9662,60.01,47,86,3.0
9,Nuuk,GL,2021-04-25 22:29:30,64.1835,-51.7216,41.0,75,75,3.44
10,Chuy,UY,2021-04-25 22:29:31,-33.6971,-53.4616,62.76,76,96,12.68
11,Katsuura,JP,2021-04-25 22:28:52,35.1333,140.3,55.99,37,20,17.27
12,Thompson,CA,2021-04-25 22:29:32,55.7435,-97.8558,32.0,93,90,8.05
13,Juazeiro,BR,2021-04-25 22:25:50,-9.4117,-40.4986,84.2,61,0,5.75
14,Codrington,AU,2021-04-25 22:29:32,-38.2667,141.9667,56.01,77,100,4.45
15,Tiksi,RU,2021-04-25 22:29:33,71.6872,128.8694,26.2,96,100,2.62
16,Ushuaia,AR,2021-04-25 22:29:33,-54.8,-68.3,50.0,71,75,14.97
17,Bireun,ID,2021-04-25 22:29:34,5.203,96.7009,77.49,83,100,3.49
18,Yellowknife,CA,2021-04-25 22:29:34,62.456,-114.3525,8.6,72,90,13.8
19,Christiana,ZA,2021-04-25 22:29:34,-27.914,25.1611,61.11,31,92,1.34
20,Provideniya,RU,2021-04-25 22:29:35,64.3833,-173.3,37.4,70,0,2.24
21,Cherskiy,RU,2021-04-25 22:29:35,68.75,161.3,13.26,88,98,5.19
22,Butaritari,KI,2021-04-25 22:27:28,3.0707,172.7902,82.81,74,15,12.08
23,Saskylakh,RU,2021-04-25 22:29:36,71.9167,114.0833,16.29,93,100,22.44
24,Mataura,NZ,2021-04-25 22:29:36,-46.1927,168.8643,46.99,83,75,10.0
25,Kodiak,US,2021-04-25 22:27:23,57.79,-152.4072,42.8,75,90,10.36
26,Hermanus,ZA,2021-04-25 22:29:37,-34.4187,19.2345,62.01,90,100,5.99
27,Salinopolis,BR,2021-04-25 22:24:44,-0.6136,-47.3561,79.5,84,54,8.28
28,Tual,ID,2021-04-25 22:25:12,-5.6667,132.75,83.41,63,100,6.69
29,Laguna,US,2021-04-25 22:29:37,38.421,-121.4238,62.01,51,90,14.97
30,Bluff,NZ,2021-04-25 22:29:38,-46.6,168.3333,46.99,83,78,10.0
31,Husavik,IS,2021-04-25 22:29:38,66.0449,-17.3389,37.4,93,90,13.8
32,Faanui,PF,2021-04-25 22:29:39,-16.4833,-151.75,81.03,64,27,2.95
33,Klichka,RU,2021-04-25 22:29:39,50.4457,117.996,44.91,32,100,5.91
34,Vostok,RU,2021-04-25 22:29:40,46.4856,135.8833,33.91,38,9,3.53
35,Punta Arenas,CL,2021-04-25 22:29:40,-53.15,-70.9167,50.0,87,90,16.11
36,Safranbolu,TR,2021-04-25 22:29:41,41.2508,32.6942,51.62,96,100,3.31
37,Charters Towers,AU,2021-04-25 22:29:42,-20.1,146.2667,68.58,84,99,10.83
38,Asau,RO,2021-04-25 22:29:42,46.4333,26.4,46.4,81,0,2.3
39,Camapua,BR,2021-04-25 22:29:43,-19.5314,-54.0439,76.48,48,94,7.0
40,Portland,US,2021-04-25 22:28:03,45.5234,-122.6762,60.01,47,75,4.99
41,Saldanha,ZA,2021-04-25 22:29:44,-33.0117,17.9442,60.8,94,81,4.61
42,Flinders,AU,2021-04-25 22:29:44,-34.5833,150.8552,57.0,91,8,1.01
43,Olhao,PT,2021-04-25 22:29:44,37.0286,-7.8411,62.6,94,20,5.75
44,Qaanaaq,GL,2021-04-25 22:29:45,77.484,-69.3632,30.07,74,18,6.13
45,Alexandria,EG,2021-04-25 22:24:48,31.2156,29.9553,64.4,77,40,13.8
46,El Alto,PE,2021-04-25 22:29:45,-4.2714,-81.2147,71.38,75,56,12.12
